date,treatment,transect,site,quad,compact_B_else_UB,compact_UB,compact_B,compact_notes
01-Aug,trampled,TM-1,TM,1,2.5,1.5,2.5,"dusty trail, a bit rooty, tiny sticks and woodchips"
01-Aug,trampled,TM-1,TM,1,2.875,1.75,2.875,"dusty trail, a bit rooty, tiny sticks and woodchips"
01-Aug,trampled,TM-1,TM,2,2.5,2.25,2.5,
01-Aug,trampled,TM-1,TM,3,2.75,0.75,2.75,
01-Aug,trampled,TM-1,TM,4,2.75,0,2.75,
01-Aug,trampled,TM-1,TM,5,2,1,2,
01-Aug,trampled,TM-1,TM,6,3,3,3,
01-Aug,trampled,TM-1,TM,7,2.25,2.5,2.25,
01-Aug,trampled,TM-1,TM,8,3.75,1.75,3.75,
01-Aug,trampled,TM-1,TM,9,3.5,3,3.5,
01-Aug,trampled,TM-1,TM,10,3.75,1.75,3.75,
01-Aug,reference,TM-2,TM,1,2.25,,2.25,"all brushed, semi dense heather, lots of roots and litter"
01-Aug,reference,TM-2,TM,2,1.25,,1.25,
01-Aug,reference,TM-2,TM,3,2.25,,2.25,
01-Aug,reference,TM-2,TM,4,2,,2,
01-Aug,reference,TM-2,TM,5,2.25,,2.25,
01-Aug,reference,TM-2,TM,6,1.5,,1.5,
01-Aug,reference,TM-2,TM,7,1.75,,1.75,
01-Aug,reference,TM-2,TM,8,1,,1,
01-Aug,reference,TM-2,TM,9,0.75,,0.75,
01-Aug,reference,TM-2,TM,10,1.5,,1.5,
31-Jul,trampled,TM-3,TM,1,4.5,4.5,,
31-Jul,trampled,TM-3,TM,2,4.75,4,4.75,
31-Jul,trampled,TM-3,TM,3,4.75,4.75,4.75,
31-Jul,trampled,TM-3,TM,4,3.25,1.25,3.25,
31-Jul,trampled,TM-3,TM,5,4.75,3.25,4.75,
31-Jul,trampled,TM-3,TM,6,3.5,2,3.5,
31-Jul,trampled,TM-3,TM,7,4,1.5,4,
31-Jul,trampled,TM-3,TM,8,4.75,4,4.75,
31-Jul,trampled,TM-3,TM,9,4.75,4,4.75,
31-Jul,trampled,TM-3,TM,10,3.25,2.25,3.25,
31-Jul,reference,TM-4,TM,1,1.5,1.5,,through moss (v. mossy)
31-Jul,reference,TM-4,TM,2,1.25,1.25,,through moss (v. mossy)
31-Jul,reference,TM-4,TM,3,1.75,,1.75,
31-Jul,reference,TM-4,TM,4,2.75,2.75,,through moss
31-Jul,reference,TM-4,TM,5,2.25,,2.25,
31-Jul,reference,TM-4,TM,6,1.25,1.25,,deep heather litter layer
31-Jul,reference,TM-4,TM,7,2.25,2.25,,through moss
31-Jul,reference,TM-4,TM,8,2.5,2.5,,deep heather litter layer etc.
31-Jul,reference,TM-4,TM,9,1.25,1.25,,deep heather litter layer
31-Jul,reference,TM-4,TM,10,1.5,1.5,,deep heather litter layer
31-Jul,trampled,TM-5,TM,1,3,,3,very vegetated 
31-Jul,trampled,TM-5,TM,2,3.25,,3.25,
31-Jul,trampled,TM-5,TM,3,2.75,,2.75,very vegetated 
31-Jul,trampled,TM-5,TM,4,2.75,,2.75,
31-Jul,trampled,TM-5,TM,5,4.25,,4.25,
31-Jul,trampled,TM-5,TM,6,3.25,,3.25,
31-Jul,trampled,TM-5,TM,7,4,,4,
31-Jul,trampled,TM-5,TM,8,3.5,,3.5,
31-Jul,trampled,TM-5,TM,9,3.75,,3.75,
31-Jul,trampled,TM-5,TM,10,4,,4,
31-Jul,reference,TM-6,TM,1,2.25,2.25,,through moss
31-Jul,reference,TM-6,TM,2,1.75,1.75,,through moss
31-Jul,reference,TM-6,TM,3,2,2,,through moss
31-Jul,reference,TM-6,TM,4,1.25,,1.25,brushed veg
31-Jul,reference,TM-6,TM,5,2.75,,2.75,brushed veg
31-Jul,reference,TM-6,TM,6,2.25,,2.25,brushed veg
31-Jul,reference,TM-6,TM,7,2.75,,2.75,brushed veg
31-Jul,reference,TM-6,TM,8,2.25,,2.25,brushed veg
31-Jul,reference,TM-6,TM,9,2,,2,brushed veg
31-Jul,reference,TM-6,TM,10,2.25,,2.25,brushed veg
31-Jul,trampled,TM-7,TM,1,4.75,2.75,4.75,
31-Jul,trampled,TM-7,TM,2,2.5,,2.5,very veg
31-Jul,trampled,TM-7,TM,3,3.5,,3.5,very veg
31-Jul,trampled,TM-7,TM,4,4.5,,4.5,
31-Jul,trampled,TM-7,TM,5,4.75,,4.75,
31-Jul,trampled,TM-7,TM,6,4.25,,4.25,
31-Jul,trampled,TM-7,TM,7,4,,4,
31-Jul,trampled,TM-7,TM,8,4.75,,4.75,
31-Jul,trampled,TM-7,TM,9,4,,4,
31-Jul,trampled,TM-7,TM,10,1.5,,1.5,very veg
31-Jul,reference,TM-8,TM,1,1.75,,1.75,
31-Jul,reference,TM-8,TM,2,2.5,,2.5,
31-Jul,reference,TM-8,TM,3,2,,2,v veg
31-Jul,reference,TM-8,TM,4,1.75,,1.75,
31-Jul,reference,TM-8,TM,5,1.75,,1.75,
31-Jul,reference,TM-8,TM,6,1.25,,1.25,
31-Jul,reference,TM-8,TM,7,2.5,,2.5,
31-Jul,reference,TM-8,TM,8,2.25,,2.25,
31-Jul,reference,TM-8,TM,9,2.75,,2.75,
31-Jul,reference,TM-8,TM,10,2.5,,2.5,
29-Jul,trampled,BT-9,BT,1,2.5,,2.5,
29-Jul,trampled,BT-9,BT,2,1.75,,1.75,
29-Jul,trampled,BT-9,BT,3,2,,2,
29-Jul,trampled,BT-9,BT,4,2.5,,2.5,
29-Jul,trampled,BT-9,BT,5,2.5,,2.5,
29-Jul,trampled,BT-9,BT,6,2.5,,2.5,
29-Jul,trampled,BT-9,BT,7,0.75,,0.75,
29-Jul,trampled,BT-9,BT,8,2.75,,2.75,
29-Jul,trampled,BT-9,BT,9,2.25,,2.25,
29-Jul,trampled,BT-9,BT,10,1.75,,1.75,
29-Jul,reference,BT-10,BT,1,2.75,,2.75,
29-Jul,reference,BT-10,BT,2,1.5,,1.5,
29-Jul,reference,BT-10,BT,3,2.75,,2.75,
29-Jul,reference,BT-10,BT,4,1.75,,1.75,
29-Jul,reference,BT-10,BT,5,2.25,,2.25,
29-Jul,reference,BT-10,BT,6,1.5,,1.5,
29-Jul,reference,BT-10,BT,7,1.75,,1.75,
29-Jul,reference,BT-10,BT,8,2.25,,2.25,
29-Jul,reference,BT-10,BT,9,2.25,,2.25,
29-Jul,reference,BT-10,BT,10,2.25,,2.25,
29-Jul,trampled,BT-11,BT,1,1,,1,
29-Jul,trampled,BT-11,BT,2,2.75,,2.75,
29-Jul,trampled,BT-11,BT,3,0.75,,0.75,
29-Jul,trampled,BT-11,BT,4,0.75,,0.75,
29-Jul,trampled,BT-11,BT,5,3.5,1,3.5,
29-Jul,trampled,BT-11,BT,7,2,,2,
29-Jul,trampled,BT-11,BT,8,2.75,,2.75,
29-Jul,trampled,BT-11,BT,9,2.75,,2.75,
29-Jul,trampled,BT-11,BT,10,2,,2,
29-Jul,reference,BT-12,BT,1,0.75,,0.75,
29-Jul,reference,BT-12,BT,2,0.75,,0.75,
29-Jul,reference,BT-12,BT,3,1.75,,1.75,
29-Jul,reference,BT-12,BT,4,0.75,,0.75,
29-Jul,reference,BT-12,BT,5,2.5,,2.5,
29-Jul,reference,BT-12,BT,6,1.25,,1.25,
29-Jul,reference,BT-12,BT,7,2.25,,2.25,
29-Jul,reference,BT-12,BT,8,2.25,,2.25,
29-Jul,reference,BT-12,BT,9,1.75,,1.75,
29-Jul,reference,BT-12,BT,10,1.75,,1.75,
29-Jul,trampled,BT-13,BT,1,2.5,,2.5,
29-Jul,trampled,BT-13,BT,2,2.5,,2.5,
29-Jul,trampled,BT-13,BT,3,3.25,,3.25,
29-Jul,trampled,BT-13,BT,4,2.75,,2.75,
29-Jul,trampled,BT-13,BT,5,2.75,,2.75,
29-Jul,trampled,BT-13,BT,6,2.25,,2.25,
29-Jul,trampled,BT-13,BT,7,2.25,,2.25,
29-Jul,trampled,BT-13,BT,8,1.5,,1.5,
29-Jul,trampled,BT-13,BT,9,3.5,,3.5,
29-Jul,trampled,BT-13,BT,10,3.5,,3.5,
29-Jul,reference,BT-14,BT,1,1.75,,1.75,
29-Jul,reference,BT-14,BT,2,1.25,,1.25,
29-Jul,reference,BT-14,BT,3,1.75,,1.75,
29-Jul,reference,BT-14,BT,4,0.75,,0.75,
29-Jul,reference,BT-14,BT,5,1,,1,
29-Jul,reference,BT-14,BT,6,2.25,,2.25,
29-Jul,reference,BT-14,BT,7,2,,2,
29-Jul,reference,BT-14,BT,8,2,,2,
29-Jul,reference,BT-14,BT,9,3.75,,3.75,
29-Jul,reference,BT-14,BT,10,1.5,,1.5,
30-Jul,trampled,PR-17,PR,1,3.25,2.75,3.25,
30-Jul,trampled,PR-17,PR,2,4,4,NA,
30-Jul,trampled,PR-17,PR,3,4,4,NA,very stoney 
30-Jul,trampled,PR-17,PR,4,4.75,4,4.75,very stoney 
30-Jul,trampled,PR-17,PR,5,4.75,3.5,4.75,very stoney 
30-Jul,trampled,PR-17,PR,6,4.75,2.5,4.75,very stoney 
30-Jul,trampled,PR-17,PR,7,3.75,1.5,3.75,very stoney 
30-Jul,trampled,PR-17,PR,8,3.75,2.75,3.75,
30-Jul,trampled,PR-17,PR,9,3.5,2.75,3.5,
30-Jul,trampled,PR-17,PR,10,4.75,NA,4.75+,very stoney 
30-Jul,reference,PR-18,PR,1,3.25,3.25,,moss and litter
30-Jul,reference,PR-18,PR,2,2.5,2.5,,CC
30-Jul,reference,PR-18,PR,3,1.75,1.75,,CC
