treatment,site,lifeform,Total_Cover,Prop_Cover
trampled,BT,bryophyte,5.1,1.349206349
trampled,BT,conifer,17.85,4.722222222
trampled,BT,eshrub,83.45,22.07671958
trampled,BT,forbs,32.75,8.664021164
trampled,BT,graminoid,3.4,0.899470899
trampled,BT,litter,16.95,4.484126984
trampled,BT,rockcrust,55,14.55026455
trampled,BT,soil,163.5,43.25396825
trampled,PR,bryophyte,3.25,0.889598541
trampled,PR,conifer,0.75,0.205291971
trampled,PR,eshrub,30.6,8.375912416
trampled,PR,forbs,36.3,9.936131396
trampled,PR,graminoid,26.15,7.157846722
trampled,PR,litter,22.45,6.145072998
trampled,PR,rockcrust,7.833333,2.144160495
trampled,PR,soil,238,65.14598546
trampled,TM,bryophyte,11.05,1.781826977
trampled,TM,conifer,15.05,2.426832218
trampled,TM,eshrub,154.7,24.94557768
trampled,TM,forbs,59.25,9.554140127
trampled,TM,graminoid,12,1.935015722
trampled,TM,litter,1,0.16125131
trampled,TM,rockcrust,38,6.127549786
trampled,TM,soil,329.1,53.06780618
reference,BT,bryophyte,8.7,2.171471359
reference,BT,conifer,41.8,10.4330463
reference,BT,eshrub,160.3,40.00998378
reference,BT,forbs,16.8,4.193186073
reference,BT,graminoid,0.95,0.237114689
reference,BT,litter,108.1,26.98115562
reference,BT,rockcrust,46,11.48134282
reference,BT,soil,18,4.455997029
reference,PR,bryophyte,35.35,8.751083055
reference,PR,conifer,1.7,0.420844164
reference,PR,eshrub,184.15,45.58732516
reference,PR,forbs,90.7,22.45327392
reference,PR,graminoid,16.1,3.985641787
reference,PR,litter,41.5,10.27354871
reference,PR,rockcrust,12.5,3.094442381
reference,PR,soil,21.95,5.433840822
reference,TM,bryophyte,50.3,8.314736755
reference,TM,conifer,36.2,5.983965617
reference,TM,dshrub,10.1,1.669559468
reference,TM,eshrub,294,48.59905777
reference,TM,forbs,70.95,11.728242
reference,TM,graminoid,20.1,3.322588644
reference,TM,litter,108.05,17.86098025
reference,TM,rockcrust,15.25,2.520869493
