treatment,transnum,transect,site,altitude,transpair,slope,quad,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,graminoid,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,eshrub,eshrub,eshrub,eshrub,eshrub,eshrub,eshrub,dshrub,conifer,conifer,crust,litter,soil,rock,rockcrust
near,1,TM-1,TM,1579.9,1,2,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,90,0,0
near,1,TM-1,TM,1579.9,1,2,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,90,0,0
near,1,TM-1,TM,1579.9,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,95,0,0
near,1,TM-1,TM,1579.9,1,2,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,20,0,0,0,0,0,0,0,80,0,0
near,1,TM-1,TM,1579.9,1,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,95,0,0
near,1,TM-1,TM,1579.9,1,2,6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0
near,1,TM-1,TM,1579.9,1,2,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,95,0,0
near,1,TM-1,TM,1579.9,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
near,1,TM-1,TM,1579.9,1,2,9,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,95,0,0
near,1,TM-1,TM,1579.9,1,2,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,90,0,0
