2025 NEW Helm Creek Transects,,,,,,,,,,,,,,,,type,forb,forb,forb,forb,forb,forb,forb/Lycopod,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,forb,graminoid (non-native),graminoid,graminoid,graminoid,graminoid,graminoid,graminoid-sedge,graminoid-sedge,graminoid-sedge,graminoid - sedge,graminoid-sedge,graminoid-rush,graminoid-rush,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte-liverwort,bryophyte-liverwort,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,bryophyte,woody deciduous,woody deciduous shrub,woody evergreen shrub,woody evergreen shrub,woody evergreen shrub,woody evergreen shrub,woody evergreen shrub,woody evergreen,deciduous shrub,deciduous shrub,deciduous shrub,conifer,conifer,woody deciduous,ground,ground,ground,ground,ground,ground,ground,fungus
To Do: verify mosses and grass spp. and 'acer-like' and align with existing taxa or create new columns,,,,,,,,,,,,,,,,type code,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.1,,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,6,6,6,7,7,5,8,8,8,8,8,8,8,
"Data transfer to spreadsheet, Jul 2025, SJ;  Most recent edit: Aug 3, 2025, NH",,,,,,,,,,,,,,,,Order 2024 Sheet,34,41,40,18,13,26,43,25,7,32,6,30,1,15,84,31,17,27,42,83,28,14,24,,,10,11,36,35,9,8,75,81,23,12,37,19,20,68,66,44,45,55,74,73,59,77,79,52,54,53,76,78,70,56,69,60,65,72,64,58,,,,,,,,,,,,39,2,3,29,11,4,16,82,22,33,38,5,21,85,49,50,51,,,,,
,,,,,,,,,,,,,,Order,,Order_by_sp_type_alph,1.1 [is obs in PR],No Observations,1.2,2,3,4,5,6,7,8,9,[is obs in TayMead],10,11,[is obs in TayMead],No Observations at all,12,[is obs in TayMead],No Observations at all,[is obs in TayMead],[is obs in TayMead],13,14,15,16,17,18,20,No Observations at all,[is obs in TayMead],21,[is obs in TayMead],[is obs in TayMead],22,23,[is obs in TayMead],24,25,26,27,Not used,Not used - just ref to unid moss,Not observed,Ceratodon entered here,[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],28,[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],[is obs in TayMead],29,[is obs in TayMead],,,,,,,,,,,,No Observations,,,[is obs in TayMead],,,[was sighted on trail and is obs in TayMead],[is obs in TayMead],[is obs in TayMead],No Observations,No Observations,,,"""acer-like spp""",,,,,,,,
date,Field Data Entry,Plant ID People,notes,treatment,treatcode,altitude,slope,compass bearing,site.no,site.name,transect.no,quad,transect.code,treat.transplot,transplot,Species code,antmed,antros,antumb,arnlat,callep,caspar,dipsit,epiana,erigla,erygra,hietri,leppyr,luepec,luparc / and ssp subalpinus,mictol,penpro,potfla,pusocc,ranesc,solmul,tonlya,valsti,verwor,sibpro,pulocc,agrcap,agrhum,danint,fesbra,poaalp,vahatr,carhas,carnar,carnig,carspe,schacu,jundru,luzpip,aulpal,braspp,bryosp1,bryosp2,bucsud,cerpur,dicoly,dicpal,ditspp,meilya,nipelo,nipmut,nippyg,phifon,pohnut,polpil,polspp,rhysqu,rhyrob,Scioed,strcon,barhat,lopven,dicranum spp.,"""andrea spp.""","""weird moss""","""rock moss""","""leafy liverwort""","""ceratocranum""","""spiky hat moss""","""yellow moss""","""hairy moss""","""green tufts""",Dicranum tauricum,vacmem,vacova,casmer,gauhum,kalmic,phyemp,phygla,phyint,salbar,salcom,sorsit,abilas,tsumer,aceglab RockyMtMaple,soil,litter cov soil,rock,rock w lichen,lichen only,crypto crust,cypto crust w lichen present,"""exobasidium fugus"""
19-Jul,KC,"PE, AD, KC (beginning)",N/A,near,0,1668,6,12,15,HC,29,1,HC-29,1,1,,,,,,,,15,,,,1,,20,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,15,,,,,,1,,,,5,,,,,,
19-Jul,KC,"PE, AD, KC (beginning)","abilas: 3 seedling, 1 sapling",near,0,1668,6,12,15,HC,29,2,HC-29,2,2,,,,,,,,35,,1,,0.5,,30,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,,,20,,,,,,1,,,10,10,5,,,,,
19-Jul,KC,"PE, AD, KC (beginning)","abilas: 1 seedling, 1 juvenile in plot, 1 juvenile rooted outside",near,0,1668,6,12,15,HC,29,3,HC-29,3,3,,,,,,,,15,,1,,,,15,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,10,40,,,15,,,,,,10,,,20,10,,,,,,
19-Jul,KC,"PE, AD, KC (beginning)",abilas: 2 seedlings,near,0,1668,6,12,15,HC,29,4,HC-29,4,4,,,,,,,,,,0.5,,,,25,,,,,,,,,,,,,,,,,,1,,,15,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,15,,,15,,,,,,1,,,15,1,,,,,,
19-Jul,KC,"PE, AD, KC (beginning)",rock moss sample (not found on rock),near,0,1668,6,12,15,HC,29,5,HC-29,5,5,,,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,1,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.5,,,,,,,,,,,0.5,25,,,,,,,,,25,1,1,,,,,
19-Jul,KC,"PE, AD, KC (beginning)",,near,0,1668,6,12,15,HC,29,6,HC-29,6,6,,,,,,,,,,,,1,,25,,,,,,,,,,,,,,,,,,1,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,0.5,,,10,,,,,,,,,20,1,1,,,,,
